link;value
"http://dbpedia.org/class/yago/CrystalPalaceF.C.Players"; 0.0037500000000000007
"http://dbpedia.org/class/yago/EnglishFootballManagers"; 0.01099454329894818
"http://dbpedia.org/class/yago/WaterfordUnitedF.C.Players"; 0.0037500000000000007
"http://dbpedia.org/resource/Charlie_Adam"; 0.15000000000000002
"http://dbpedia.org/class/yago/BlackpoolF.C.Players"; 0.006269296740994855
"http://dbpedia.org/class/yago/RangersF.C.Players"; 0.0038636363636363642
"http://dbpedia.org/class/yago/RossCountyF.C.Players"; 0.0038636363636363642
"http://dbpedia.org/class/yago/ScotlandBInternationalFootballers"; 0.0038636363636363642
"http://dbpedia.org/class/yago/ScotlandInternationalFootballers"; 0.0067613636363636365
"http://dbpedia.org/class/yago/ScotlandUnder-21InternationalFootballers"; 0.0038636363636363642
"http://dbpedia.org/class/yago/ScottishFootballLeaguePlayers"; 0.008998205741626795
"http://dbpedia.org/class/yago/ScottishFootballers"; 0.0067613636363636365
"http://dbpedia.org/class/yago/ScottishPremierLeaguePlayers"; 0.007132867132867134
"http://dbpedia.org/class/yago/St.MirrenF.C.Players"; 0.0038636363636363642
"http://dbpedia.org/resource/Chelsea_F.C."; 0.15000000000000002
"http://dbpedia.org/class/yago/Association108049401"; 0.08193750000000001
"http://dbpedia.org/class/yago/Organization108008335"; 0.16934839977678573
"http://dbpedia.org/class/yago/AssociationFootballClubsEstablishedIn1905"; 0.0075000000000000015
"http://dbpedia.org/class/yago/Club108227214"; 0.07875000000000001
"http://dbpedia.org/class/yago/Group100031264"; 0.24769336999916705
"http://dbpedia.org/class/yago/Abstraction100002137"; 0.4212804713224678
"http://dbpedia.org/class/yago/SocialGroup107950920"; 0.08058918946056548
"http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity"; 0.22446011180205938
"http://dbpedia.org/class/yago/PremierLeagueClubs"; 0.015000000000000003
"http://www.wikidata.org/entity/Q43229"; 0.027112500000000005
"http://www.wikidata.org/entity/Q874405"; 0.023045625000000004
"http://www.wikidata.org/entity/Q476028"; 0.015000000000000003
"http://www.wikidata.org/entity/Q17270000"; 0.012750000000000003
"http://dbpedia.org/ontology/Organisation"; 0.05431250000000001
"http://dbpedia.org/ontology/SoccerClub"; 0.015000000000000003
"http://dbpedia.org/ontology/SportsTeam"; 0.027750000000000004
"http://dbpedia.org/class/yago/FootballClubsInEngland"; 0.015000000000000003
"http://dbpedia.org/class/yago/FootballClubsInLondon"; 0.0075000000000000015
"http://dbpedia.org/class/yago/FormerFootballLeagueClubs"; 0.015000000000000003
"http://dbpedia.org/resource/Chris_Waddle"; 0.15000000000000002
"http://dbpedia.org/class/yago/1986FIFAWorldCupPlayers"; 0.002236842105263158
"http://dbpedia.org/class/yago/AssociationFootballWingers"; 0.002236842105263158
"http://dbpedia.org/class/yago/Winger110782471"; 0.004138157894736842
"http://dbpedia.org/class/yago/BradfordCityA.F.C.Players"; 0.002236842105263158
"http://dbpedia.org/class/yago/BurnleyF.C.Managers"; 0.002236842105263158
"http://dbpedia.org/class/yago/BurnleyF.C.Players"; 0.002236842105263158
"http://dbpedia.org/class/yago/SheffieldWednesdayF.C.Players"; 0.002236842105263158
"http://dbpedia.org/class/yago/StocksbridgeParkSteelsF.C.Players"; 0.002236842105263158
"http://dbpedia.org/class/yago/SunderlandA.F.C.Players"; 0.002236842105263158
"http://dbpedia.org/class/yago/EnglishExpatriateFootballers"; 0.002236842105263158
"http://dbpedia.org/class/yago/ExpatriateFootballersInFrance"; 0.002236842105263158
"http://dbpedia.org/class/yago/FalkirkF.C.Players"; 0.002236842105263158
"http://dbpedia.org/class/yago/OlympiqueDeMarseillePlayers"; 0.004949608062709967
"http://dbpedia.org/class/yago/GlapwellF.C.Players"; 0.002236842105263158
"http://dbpedia.org/class/yago/Ligue1Players"; 0.004949608062709967
"http://dbpedia.org/class/yago/TorquayUnitedF.C.Players"; 0.002236842105263158
"http://dbpedia.org/class/yago/TottenhamHotspurF.C.Players"; 0.002236842105263158
"http://dbpedia.org/class/yago/TowLawTownF.C.Players"; 0.002236842105263158
